volcano_number,volcano_name_x,primary_volcano_type,last_eruption_year,country,region,subregion,latitude_x,longitude_x,elevation,tectonic_settings,evidence_category,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,volcano_name_y,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude_y,longitude_y
283001,Abu,Shield(s),-6850,Japan,"Japan, Taiwan, Marianas",Honshu,34.5,131.6,641,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,3597,9594,117805,4071152,Abu,17369,Confirmed Eruption,Kasa-yama,,-6850.0,0.0,0.0,Thermoluminescence,,,,34.5,131.6
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10655,Confirmed Eruption,Pico Central-Yepocapa saddle,1.0,1972.0,11.0,12.0,Historical Observations,1972.0,12.0,16.0,14.501,-90.876
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10654,Confirmed Eruption,Pico Central,2.0,1926.0,8.0,0.0,Historical Observations,1927.0,5.0,19.0,14.501,-90.876
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10653,Confirmed Eruption,North slope of Pico Central,3.0,1924.0,12.0,18.0,Historical Observations,1925.0,6.0,7.0,14.501,-90.876
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10652,Confirmed Eruption,,,1450.0,0.0,0.0,Anthropology,,,,14.501,-90.876
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10651,Confirmed Eruption,Pico Central,,90.0,0.0,0.0,Radiocarbon (uncorrected),,,,14.501,-90.876
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10650,Confirmed Eruption,Pico Central,,-260.0,0.0,0.0,Radiocarbon (uncorrected),,,,14.501,-90.876
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10649,Confirmed Eruption,Pico Central,,-370.0,0.0,0.0,Radiocarbon (uncorrected),,,,14.501,-90.876
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778,Acatenango,10648,Confirmed Eruption,Yepocapa,,-2710.0,0.0,0.0,Radiocarbon (uncorrected),,,,14.501,-90.876
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , ,127863,127863,218469,2253483,Acigol-Nevsehir,13904,Confirmed Eruption,,,-2080.0,0.0,0.0,Anthropology,,,,38.537,34.621
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , ,127863,127863,218469,2253483,Acigol-Nevsehir,13903,Confirmed Eruption,,,-2370.0,0.0,0.0,Radiocarbon (uncorrected),,,,38.537,34.621
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , ,127863,127863,218469,2253483,Acigol-Nevsehir,13902,Confirmed Eruption,,,-3500.0,0.0,0.0,Radiocarbon (uncorrected),,,,38.537,34.621
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , ,127863,127863,218469,2253483,Acigol-Nevsehir,13901,Confirmed Eruption,,,-6230.0,0.0,0.0,Radiocarbon (uncorrected),,,,38.537,34.621
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,Rhyolite,Dacite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , ,127863,127863,218469,2253483,Acigol-Nevsehir,13900,Confirmed Eruption,,,-7810.0,0.0,0.0,Radiocarbon (uncorrected),,,,38.537,34.621
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303,Adams,20517,Confirmed Eruption,East flank?,2.0,950.0,0.0,0.0,Tephrochronology,,,,46.206,-121.49
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303,Adams,20516,Confirmed Eruption,,2.0,200.0,0.0,0.0,Tephrochronology,,,,46.206,-121.49
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303,Adams,20515,Confirmed Eruption,,2.0,-300.0,0.0,0.0,Tephrochronology,,,,46.206,-121.49
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303,Adams,20514,Confirmed Eruption,,2.0,-400.0,0.0,0.0,Tephrochronology,,,,46.206,-121.49
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303,Adams,20513,Confirmed Eruption,,2.0,-550.0,0.0,0.0,Tephrochronology,,,,46.206,-121.49
